Part	MPN	#GPS	#Clock	#Blink	Price	Needed	Have	Order Notes
GPS PCB		1			$62.00	5		price is Q2
Clock PCB			1		$110.00	2		price is Q2
Blink PCB				1	$60.00	10		price is Q2
Disp PCB				1	$9.00	10		price is Q10
Battery				1	$15.00	10		https://www.amazon.ca/gp/product/B082152887
Battery Tape				1	$0.25	10	10	https://www.amazon.ca/gp/product/B0BDFDS75Z
1/2 Nut		1	6	4		57	0	
1/2 Washer		1	6	4		57	0	
Red Button	Mouser 612-1R-RD	1	1	1		17	3	
Black Button				1		10	3	
White Button				1		10	4	
TCXO 				1		10	4	
OCXO			1			2	2	
GPS Unit	"Garmin GPS 16x, LVS"	1			$100.00	5	1	https://www.amazon.ca/gp/product/B0016NYHOA
Box		1	1	1	$13.50	17	19	https://www.amazon.ca/gp/product/B010DHQPVW
Plexiglass 				1		10	 	
front plate gps		1				5		
front plate clock			1			2		
front plate blink				1		10		
back plate gps		1				5		
back plate clock			1			2		
back plate blink				1		10		
usb cables		1	1	1		17		
Audio cables				1		10		
Headsets				1		10		
2 row headers				1		10		
1 row headers				2		20		
window glue								
